TRADE_DT,UNDLY,CLS,EXPR_DT,STRK_PRC,PC,OIT,VOL,HIGH,LOW,OPEN,LAST,L_BID,L_ASK,UNDL_PRC,S_TYPE,P_TYPE
20140303,SPX,SPX,20140322,1335.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506.9000,509.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1340.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,501.9000,504.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1345.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,496.9000,499.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1350.0000,C,76.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.9000,494.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1355.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,486.9000,489.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1360.0000,C,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,481.9000,484.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1365.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,476.9000,479.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1370.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,471.9000,474.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1375.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,466.9000,469.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1380.0000,C,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,461.9000,464.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1385.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,456.9000,459.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1390.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,451.9000,454.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1395.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,446.9000,449.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1400.0000,C,751.0000,0.0000,0.0000,0.0000,0.0000,0.0000,441.9000,444.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1405.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,436.9000,439.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1410.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,431.9000,434.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1415.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,426.9000,429.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1420.0000,C,31.0000,0.0000,0.0000,0.0000,0.0000,0.0000,422.0000,424.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1425.0000,C,566.0000,4.0000,414.2000,414.2000,414.2000,414.2000,417.0000,419.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1430.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,412.0000,414.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1435.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,407.0000,409.5000,1845.7300,Standard,Index
