,q1c,q1cstd,q1high,q1low,q1range,q1middle,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
1997-03-21,4.704418657443865,0.8230141859073662,9.002895028509617,-1.5837181353238972,10.586613163833514,3.7095884465928597,9.001057784912248,0.6259223202010376,0.3951462261184766,-0.5607653859373793,0.9623052438549637,0.4526058637400195,41.196026136372566,0.0,0.0,-25.39357835203949,1.0,6.059616410996135,0.0,0.0,-3.3456040631158004,0.0,0.01870100086016624,0.8723195007774308,0.5912613183105498,-0.7262063887681786,1.3283186065651198,0.5574707458516833,10.419533271992108,0.0,0.0,-8.636650050009786,1.0,-2.8394906112924563,0.0,0.0,1.7969950457559456,0.0
1996-12-20,9.001057784912248,0.6259223202010376,10.188783159886029,-0.20669256626234533,10.395475726148375,4.9910452968118415,3.027712658461734,0.820120058394156,0.4080370974985908,-0.6386516696267766,1.0560603477288728,0.6668237480744853,35.13640972537643,0.0,0.0,-22.04797428892369,1.0,-3.336743297038076,0.0,0.0,0.32530635213165837,0.0,2.998365755736665,0.6759726825647553,0.34385796792589796,-0.5680011596026302,0.9181312315356358,0.36831694929630593,8.419114023112094,0.0,0.0,-6.168141384817993,1.0,2.541258854256796,0.0,0.0,-1.9890601393685259,0.0
1996-09-20,3.027712658461734,0.820120058394156,3.027712658461734,-6.026934225889214,9.054646884350948,-1.4996107837137398,2.4930112815468197,0.627855103056011,0.42377894394834487,-0.510564765258241,0.9402094581951879,0.45465913080943293,38.47315302241451,0.0,0.0,-22.37328064105535,1.0,-3.323451597302359,0.0,0.0,1.3015289940753618,0.0,-1.719942201000102,0.49036805378430504,0.4532887803870788,-0.4228466230664118,0.8804657757449409,0.290075207899759,6.968285589953311,0.0,0.0,-5.817633245775699,1.0,-4.913112001660808,0.0,0.0,3.0270336530313973,0.0
1996-06-21,2.4930112815468197,0.627855103056011,4.286681934155112,-2.9879207525129625,7.274602686668075,0.6493805908210746,6.3191419835094464,0.8294067178970593,0.42276735113769925,-0.6372197534544746,1.067901004808444,0.5777311047056096,41.79660461971687,0.0,0.0,-23.67480963513071,1.0,9.954044586954861,0.0,0.0,-1.6215091302727132,0.0,-1.2836104483944122,0.9751805585414777,0.6023693121777576,-0.685105845140481,1.297992190052371,0.7527572923130981,11.250703844662135,0.0,0.0,-8.265549938662941,1.0,-4.047541625522506,0.0,0.0,2.9802804914701557,0.0
1996-03-15,4.07079838705271,0.8470242949857878,7.319008632296664,-2.8977592125567497,10.216767844853415,2.2106247098699567,5.655275757444955,0.47789670469192985,0.2473192711835582,-0.4471124510273793,0.6980548466359895,0.2730014776800039,32.80150090651066,0.0,0.0,-22.824460657526103,1.0,2.5997340121824806,0.0,0.0,-1.5156084772801748,0.0,2.7113536302206143,0.4936081512952603,0.2360646932917132,-0.4168642378087373,0.6562290448266295,0.265537845977871,11.891742006531947,0.0,0.0,-9.671592188160982,1.0,0.8908112088015461,0.0,0.0,-0.5350836398396517,0.0
1995-12-15,5.655275757444955,0.47789670469192985,6.572387299987592,-1.1365407092325586,7.70892800922015,2.717923295377517,8.061789524043128,0.4928843513929584,0.2733343119819695,-0.4654745604334985,0.7431181216207693,0.384012556401646,30.20176689432818,0.0,0.0,-21.30885218024593,1.0,6.511361979147146,0.0,0.0,-3.7045567749803716,0.0,4.316796755537378,0.3255177246628789,0.20456414077802854,-0.40443592995138833,0.6117447655584252,0.19912615347861354,12.615925410989595,0.0,0.0,-10.420868006959761,1.0,2.951965397265319,0.0,0.0,-2.1639491590135904,0.0
1995-09-15,8.061789524043128,0.4928843513929584,8.109954685365594,0.0,8.109954685365594,4.054977342682797,8.942127642519516,0.5004949749921158,0.274503291215987,-0.47959579903099103,0.7583961928824188,0.3580410487129661,23.690404915181034,0.0,0.0,-17.604295405265557,1.0,7.740988755104949,0.0,0.0,-5.263629036421246,0.0,3.975427107609919,0.6496051429222994,0.30727467124517016,-0.5826024666512454,0.8963913544139366,0.40424015767517046,9.973209459258896,0.0,0.0,-9.065167364179183,1.0,2.1086328129690504,0.0,0.0,-2.0389379059762573,0.0
1995-06-16,8.942127642519516,0.5004949749921158,8.942127642519516,-0.09080965633697646,9.032937298856492,4.42565899309127,8.003487532770027,0.42020901991528936,0.24377316682823258,-0.39900292763408884,0.6459396123022659,0.2790002692886434,15.949416160076085,0.0,0.0,-12.34066636884431,1.0,7.078468284744982,0.0,0.0,-5.764955235577274,0.0,2.8113762267361064,0.5001017882398822,0.25740912811086814,-0.4236578477290226,0.6845865773600779,0.3044403011956467,5.6800801651834405,0.0,0.0,-5.746100646661445,1.0,1.6435064795734196,0.0,0.0,-1.8583481580420775,0.0
1995-03-17,8.003487532770027,0.42020901991528936,8.003487532770027,-0.3705274710228301,8.374015003792858,3.816480030873598,-2.629514633162844,0.6794549015872606,0.4675513370490021,-0.4355632018415657,0.9074739365417036,0.381325410038589,8.870947875331103,0.0,0.0,-6.575711133267037,1.0,-7.97627843404773,0.0,0.0,3.547930139724265,0.0,-0.5785879905519375,0.737170100878685,0.44756699953353285,-0.5175772036440308,0.9702730060315933,0.3735950625802479,-1.005624553375187,0.0,-0.24633781369167718,0.26968298737877205,-1.0,-0.7188563917278892,0.0,-0.19194501529538424,0.1700191784128835,0.0
1994-12-16,-2.629514633162844,0.6794549015872606,0.5475476983807015,-5.462762367622398,6.0103100660030995,-2.4576073346208482,2.778926758012279,0.5521721731266751,0.3320121387801238,-0.4013746551354598,0.736984549019239,0.34328445205351965,16.847226309378833,0.0,0.0,-10.123641272991302,1.0,-0.8621689491282645,0.0,0.0,-1.0509054609220474,0.0,1.6196536753721125,0.6143438355776525,0.3426308235628972,-0.41274370452359826,0.7591553203860357,0.30907184130200244,2.810077700971766,0.0,0.0,-2.2319636614747007,1.0,0.4761208392065681,0.0,0.0,-0.9645275643711981,0.0
