,date,o,h,l,close,vol,c,lixt,lixc72,lixc288,lixd,lixm
89,2015-02-11,2068.550049,2073.47998,2057.98999,2068.530029,3596860000,2068.530029,5.13224821024,0.0,0.0,-4.13480446413,1
90,2015-02-10,2049.379883,2070.860107,2048.620117,2068.590088,3669850000,2068.590088,5.06988530082,0.0,0.0,-4.18121059439,1
91,2015-02-09,2053.469971,2056.159912,2041.880005,2046.73999,3549540000,2046.73999,4.0365114274,-0.212705479222,-0.212705479222,-3.20959571855,1
92,2015-02-06,2062.280029,2072.399902,2049.969971,2055.469971,4232970000,2055.469971,4.53111828104,0.0,0.0,-3.65808593532,1
93,2015-02-05,2043.449951,2063.550049,2043.449951,2062.52002,3821990000,2062.52002,4.98536062198,0.0,0.0,-4.02740145606,1
94,2015-02-04,2048.860107,2054.73999,2036.719971,2041.51001,4141920000,2041.51001,4.01711667935,0.0,0.0,-3.08615225912,1
95,2015-02-03,2022.709961,2050.300049,2022.709961,2050.030029,4615900000,2050.030029,4.49061136614,-0.301114627803,-0.301114627803,-3.52309249927,1
96,2015-02-02,1996.670044,2021.660034,1980.900024,2020.849976,4008330000,2020.849976,3.10993753947,0.517818400087,0.517818400087,-2.17151578696,1
97,2015-01-30,2019.349976,2023.319946,1993.380005,1994.98999,4538650000,1994.98999,1.79402439368,1.72742512733,1.72742512733,-0.933244331991,0
98,2015-01-29,2002.449951,2024.640015,1989.180054,2021.25,4127140000,2021.25,3.24695595053,0.314924965986,0.314924965986,-2.23981394365,1
99,2015-01-28,2032.339966,2042.48999,2001.48999,2002.160034,4067530000,2002.160034,2.41935455143,1.1612651507,1.1612651507,-1.34032661211,0
100,2015-01-27,2047.859985,2047.859985,2019.910034,2029.550049,3329810000,2029.550049,3.86466989797,0.0,0.0,-2.69237214011,1
101,2015-01-26,2050.419922,2057.620117,2040.969971,2057.090088,3465760000,2057.090088,5.36830989882,-0.451106805148,-0.451106805148,-4.02835300833,1
102,2015-01-23,2062.97998,2062.97998,2050.540039,2051.820068,3573560000,2051.820068,5.12289910191,0.0,0.0,-3.82746484747,1
103,2015-01-22,2034.300049,2064.620117,2026.380005,2063.149902,4176050000,2063.149902,5.74391376334,0.0,0.0,-4.4016426252,1
104,2015-01-21,2020.189941,2038.290039,2012.040039,2032.119995,3730070000,2032.119995,4.13716892169,0.0,0.0,-2.99367545851,1
105,2015-01-20,2020.76001,2028.939941,2004.48999,2022.550049,3944340000,2022.550049,3.61001457155,0.0,0.0,-2.5710081526,1
106,2015-01-16,1992.25,2020.459961,1988.119995,2019.420044,4056410000,2019.420044,3.44704777004,0.0,0.0,-2.45058476488,1
107,2015-01-15,2013.75,2021.349976,1991.469971,1992.670044,4276720000,1992.670044,2.01886464749,1.04754531665,1.04754531665,-1.1672789693,0
108,2015-01-14,2018.400024,2018.400024,1988.439941,2011.27002,4378680000,2011.27002,3.00871733571,0.0809594123463,0.0809594123463,-2.09852154461,1
109,2015-01-13,2031.579956,2056.929932,2008.25,2023.030029,4107300000,2023.030029,3.56540394545,0.0,0.0,-2.6917687842,1
110,2015-01-12,2046.130005,2049.300049,2022.579956,2028.26001,3456460000,2028.26001,3.6977112266,0.0,0.0,-2.96752709662,1
111,2015-01-09,2063.449951,2064.429932,2038.329956,2044.810059,3364140000,2044.810059,4.42120468772,0.124438071748,0.124438071748,-3.77980280755,1
112,2015-01-08,2030.609985,2064.080078,2030.609985,2062.139893,3934010000,2062.139893,5.24511260349,-0.0608953796456,-0.0608953796456,-4.62512637249,1
113,2015-01-07,2005.550049,2029.609985,2005.550049,2025.900024,3805480000,2025.900024,3.40821833827,0.925328307111,0.925328307111,-2.965807162,1
114,2015-01-06,2022.150024,2030.25,1992.439941,2002.609985,4460110000,2002.609985,2.11960256189,0.269607271477,0.20036168766,-1.86548088139,0
115,2015-01-05,2054.439941,2054.439941,2017.339966,2020.579956,3799120000,2020.579956,3.10703737806,1.10668739439,1.10668739439,-2.76307410942,1
116,2015-01-02,2058.899902,2072.360107,2046.040039,2058.199951,2708700000,2058.199951,5.22443359794,0.0,0.0,-4.57461282637,1
117,2014-12-31,2082.110107,2085.580078,2057.939941,2058.899902,2606070000,2058.899902,5.47320675712,0.0,0.0,-4.6591873466,1
118,2014-12-30,2088.48999,2088.48999,2079.530029,2080.350098,2440280000,2080.350098,6.82517975327,0.0,0.0,-5.69769072516,1
119,2014-12-29,2087.629883,2093.550049,2085.75,2090.570068,2452360000,2090.570068,7.52105922899,0.0,0.0,-6.22068607159,1
