C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,16:00:00,REGULAR,0004699793,0001025751                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,20:00:00,REGULAR,0004700606,0001025812                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,00:00:00,REGULAR,0004700816,0001025832                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,04:00:00,REGULAR,0004700826,0001025835                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,08:00:00,REGULAR,0004700866,0001025890                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,12:00:00,REGULAR,0004701055,0001026048                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,16:00:00,REGULAR,0004701323,0001026102                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,20:00:00,REGULAR,0004702100,0001026154                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,00:00:00,REGULAR,0004702288,0001026179                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,04:00:00,REGULAR,0004702301,0001026182                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,08:00:00,REGULAR,0004702352,0001026232                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,12:00:00,REGULAR,0004702546,0001026352                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,16:00:00,REGULAR,0004702830,0001026416                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,20:00:00,REGULAR,0004703645,0001026459                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,00:00:00,REGULAR,0004703873,0001026493                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,04:00:00,REGULAR,0004703893,0001026501                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,08:00:00,REGULAR,0004703934,0001026544                                     
